unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100312,2021,W02000031,W06000003,0.0,1.19093160434264,1,59.0,1
202100313,2021,W02000037,W06000003,,1.06573000914203,2,69.0,1
202100314,2021,W02000030,W06000003,0.0,0.532865004571015,2,65.0,1
202100315,2021,W02000027,W06000003,0.0,0.839471210867365,1,74.0,1
202100316,2021,W02000029,W06000003,0.0,1.0439795351553,2,52.0,1
202100317,2021,W02000029,W06000003,0.0,1.163922875538,2,81.0,1
202100318,2021,W02000028,W06000003,0.0,1.08824187429443,1,68.0,1
202100319,2021,W02000031,W06000003,0.0,1.08824187429443,1,69.0,1
202100320,2021,W02000036,W06000003,0.0,0.581961437768998,2,80.0,1
202100321,2021,W02000034,W06000003,0.0,0.485724607916306,1,63.0,0
202100322,2021,W02000033,W06000003,0.0,1.06573000914203,2,67.0,1
202100323,2021,W02000033,W06000003,0.0,0.97789757823618,2,60.0,1
202100324,2021,W02000028,W06000003,,1.78241236319095,1,37.0,1
202100325,2021,W02000035,W06000003,0.0,0.45465060292832,1,76.0,1
202100326,2021,W02000033,W06000003,0.0,0.97789757823618,2,63.0,1
202100327,2021,W02000030,W06000003,0.0,0.839471210867365,1,70.0,1
202100328,2021,W02000037,W06000003,0.0,0.504088542610447,2,70.0,0
202100329,2021,W02000031,W06000003,0.0,0.45465060292832,1,84.0,1
202100330,2021,W02000032,W06000003,0.0,0.59546580217132,1,58.0,1
202100331,2021,W02000028,W06000003,0.0,1.77626261954356,2,41.0,1
202100332,2021,W02000036,W06000003,0.0,1.163922875538,2,76.0,1
202100333,2021,W02000031,W06000003,0.0,1.83510917821479,2,25.0,1
202100334,2021,W02000034,W06000003,0.0,1.33979565007739,2,35.0,1
202100335,2021,W02000034,W06000003,0.0,1.45790000743322,1,50.0,1
202100336,2021,W02000028,W06000003,0.0,0.97789757823618,2,64.0,1
202100337,2021,W02000030,W06000003,0.0,0.97789757823618,2,60.0,1
202100338,2021,W02000032,W06000003,0.0,0.59546580217132,1,59.0,1
202100339,2021,W02000029,W06000003,0.0,1.2971411961765,2,24.0,0
202100340,2021,W02000036,W06000003,,1.06573000914203,2,65.0,1
202100341,2021,W02000027,W06000003,0.0,0.917094516034435,1,31.0,1
202100342,2021,W02000039,W06000003,0.0,1.33979565007739,2,37.0,0
202100343,2021,W02000032,W06000003,0.0,1.00817708522089,2,72.0,1
202100344,2021,W02000028,W06000003,0.0,0.97789757823618,2,64.0,1
202100345,2021,W02000040,W06000003,0.0,0.504088542610447,2,74.0,0
