area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000049,Denbighshire 008,2025,14,0,0,0,0.1369242627559403,3.9730900237556056e-4,0.09468488535132183,0.17547720840167647,0.08079232305035464
W02000050,Denbighshire 009,2021,6,0.11995833006885533,0.01374006697519294,0.45948624126858445,0.12445247068310099,4.438165667688144e-4,0.08941066194702357,0.16951573728258973,0.08010507533556616
W02000050,Denbighshire 009,2023,1,0,0,0,0.15072050553216815,7.005475067942906e-4,0.10580299262908936,0.2079687674061385,0.10216577477704915
W02000050,Denbighshire 009,2025,16,0.09183443829277764,0.00772539650009909,0.3445390690686045,0.14661089037276387,5.526733724539629e-4,0.1078612106548531,0.20019578508850594,0.09233457443365284
W02000051,Denbighshire 010,2021,10,0.2317161438545716,0.02065744504654773,0.5633994124493383,0.10994925630088848,3.019205516494861e-4,0.07623452176946235,0.14974077796467147,0.07350625619520912
W02000051,Denbighshire 010,2023,3,0,0,0,0.13380666318039466,5.135044404847689e-4,0.09297355231314991,0.18428876461543636,0.09131521230228645
W02000051,Denbighshire 010,2025,23,0,0,0,0.13006832883506542,4.033621276129031e-4,0.09179510094801153,0.1724012472805282,0.08060614633251666
W02000052,Denbighshire 011,2021,6,0.12311978967183251,0.01410254943464735,0.4655077353600088,0.13044735818660708,4.801771733368941e-4,0.09091409851182851,0.1798807428825624,0.08896664437073389
W02000052,Denbighshire 011,2023,2,0,0,0,0.1574787059122049,7.41188176833021e-4,0.11162723801733385,0.21576162707727609,0.10413438905994224
W02000052,Denbighshire 011,2025,13,0.11530383595304,0.00871340734479714,0.3659081606248865,0.15335610495145077,6.158799538524076e-4,0.10426053745002133,0.20342463197863742,0.09916409452861609
W02000053,Denbighshire 012,2021,5,0,0,0,0.1100797972983156,3.4019470308984295e-4,0.07756943597762439,0.1491384606289898,0.07156902465136541
W02000053,Denbighshire 012,2023,3,0,0,0,0.1338644552592377,4.978151090801668e-4,0.0931701675659326,0.18326029095958643,0.09009012339365383
W02000053,Denbighshire 012,2025,16,0.05645606527526956,0.00309761419837439,0.21816835137528687,0.13019905750087882,4.177824887595431e-4,0.09292720221028095,0.17263288219205966,0.07970567998177872
W02000054,Denbighshire 013,2021,7,0.2460556360699084,0.03068042426516305,0.6866078543566149,0.11427728829569915,2.980431284907024e-4,0.08335068958186609,0.15068690639216958,0.0673362168103035
W02000054,Denbighshire 013,2023,3,0.436270444748604,0.09673885970565106,1.2192101474646027,0.13880105234019013,4.316063458753394e-4,0.09823668668540392,0.18460434266463108,0.08636765597922716
W02000054,Denbighshire 013,2025,17,0.2025524872712724,0.02343274007254511,0.6000530178066303,0.13505242093357184,3.605285847294826e-4,0.09759235117573675,0.1790400870056077,0.08144773582987094
W02000055,Denbighshire 014,2021,8,0,0,0,0.11745129427127618,4.920986868341219e-4,0.07377450537855634,0.1649098988476405,0.09113539346908417
W02000055,Denbighshire 014,2023,5,0,0,0,0.14255761352084645,7.823731502995064e-4,0.0902341963763311,0.19995144750796567,0.10971725113163458
W02000055,Denbighshire 014,2025,20,0.2464053865813099,0.02102537517773563,0.5683946267688174,0.1386341645623746,6.514402864850668e-4,0.09054407665196135,0.1944774388401203,0.10393336218815896
